impacto_presupuestario_mes,finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,mes_completo,ipc,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
3,2,SERVICIOS DE DEFENSA Y SEGURIDAD,4,Inteligencia,70436.48581183,17832.01364282,16557.73366872,2025,2025-03,True,8353.3158,103519.64116742,26207.49221545,24334.69853267
3,3,SERVICIOS SOCIALES,1,Salud,722019.58551104,606917.34511859,597500.21602767,2025,2025-03,True,8353.3158,1061143.34845763,891978.99442066,878138.75504637
3,3,SERVICIOS SOCIALES,2,Promoción y Asistencia Social,319132.51868765,234543.73262555,101091.19955376,2025,2025-03,True,8353.3158,469025.1570423,344706.05339863,148572.49878914
3,3,SERVICIOS SOCIALES,3,Seguridad Social,5507778.13572115,5505681.79882449,5443395.36624427,2025,2025-03,True,8353.3158,8094714.11965112,8091633.15896992,8000091.55129334
3,3,SERVICIOS SOCIALES,4,Educación y Cultura,788237.55073126,584848.32980419,200494.62479556,2025,2025-03,True,8353.3158,1158463.08153953,859544.43270262,294664.49632766
3,3,SERVICIOS SOCIALES,5,"Ciencia, Tecnología e Innovación",186880.04557439,109890.37701753,56499.02745533,2025,2025-03,True,8353.3158,274655.31586704,161504.54221975,83035.92919313
3,3,SERVICIOS SOCIALES,6,Trabajo,140683.70984253,92256.4368292,90677.4210164,2025,2025-03,True,8353.3158,206761.12661138,135588.15613626,133267.49592082
3,3,SERVICIOS SOCIALES,7,Vivienda y Urbanismo,1913.18749315,1960.74890215,2052.78096509,2025,2025-03,True,8353.3158,2811.78824432,2881.68866505,3016.94706163
3,3,SERVICIOS SOCIALES,8,Agua Potable y Alcantarillado,3797.96705024,3864.00276508,3919.10962592,2025,2025-03,True,8353.3158,5581.82569268,5678.87757461,5759.86745356
3,4,SERVICIOS ECONOMICOS,1,"Energía, Combustibles y Minería",120202.01044834,195505.71602157,158181.72905847,2025,2025-03,True,8353.3158,176659.42367507,287332.35815881,232477.7513052
