documento,url,sha256,bytes,fecha_verificacion
municipio-06847-2026-06-30-1.pdf,https://www.treslomas.gob.ar/sites/default/files/situacion_economica_financiera_1deg_semestre_2026.pdf,f2f4380f15e1ec1b40d72e0edcafca0746c8fce70e56015f1ffa0b52d8074246,57774,2026-09-07
municipio-06854-2026-06-30-1.pdf,https://25demayo.gob.ar/informacion-economica/2026/2do-trimestre/Situacion%20Economica%20Financiera%20Primer%20Semestre%202026.pdf,44c59661a2330e3b2f827df1c5acdba867fac08cde1130f9a88f5ccf86e433e2,1172907,2026-09-07
municipio-06126-2026-06-30-1.pdf,https://www.campana.gob.ar/wp-content/uploads/2026/07/SEF1S2026.pdf,e56a5b2d1fd3e710d1f4f934488875516f7e8bed75f7f2220f3e2a1e819d6ad8,134422,2026-09-07
municipio-06868-2026-06-30-1.pdf,https://www.gesell.gob.ar/download/75915/Situacion Economico Financiera al 30-6-2026.pdf,c3916ee6fd00a41418ce0e17a37958ee077623445838dda5fbacc90e08c02363,325457,2026-09-07
municipio-06399-2026-06-30-1.pdf,https://guamini.gob.ar/img/portal/SIT-ECO-FINC-2026-TRM2.pdf,5a5677f8720d0dd85372e29988ea7684e8fdc08857ea52d71dfc30bb4b3aa378,307538,2026-09-07
municipio-06805-2026-06-30-1.pdf,https://www.tigre.gob.ar/public/assets/frontend/documentos/gobierno/informacion_gestion/EJECUCION_CALCULO_DE_RECURSOS_AL_30-06-2026.pdf,56a6cb2c67c2cde39c500dd953ba919f5385e08c563efb98b981d1293818e8ff,304717,2026-09-07
municipio-06805-2026-06-30-2.pdf,https://www.tigre.gob.ar/public/assets/frontend/documentos/gobierno/informacion_gestion/EJECUCION_PRESUPUESTO_DE_GASTOS_AL_30-06-2026.pdf,58f0fcf385e8d6f0369b5b5474716824779f550e6718a99cd4dbada2be6dcdcf,1780487,2026-09-07
municipio-06112-2026-08-31-1.pdf,https://portalbragado.com.ar/informacion_fiscal_presupuestaria/regimen_provincial_fiscal_municipal/informacion_economica/SITUACION-ECONOMICO-FINANCIERA-2026.pdf,890380541fc70d1c458e5cc7ba1169ddaf353f67e3f4da38149925829bc41fbc,374682,2026-09-07
municipio-06224-2025-12-31-1.pdf,https://chivilcoy.gov.ar/wp-content/uploads/transparencia/situacioneconomica/2025-situacion-economica-financiera.pdf,abd5630e4caa9d84d89f6d5185e2e9e745579880743ae8a0fb5a2b6615255a4b,306318,2026-09-07
municipio-06322-2025-12-31-1.pdf,https://www.lamadrid.gob.ar/wp-content/uploads/2026/03/Situacion-Economico-Financiera-2025.pdf,1a1584d1ec1e13ab6bba4ea5891115a30eec5a4d481abe2786526fe37c1ff087,328450,2026-09-07
