province,source,year,period_type,period,tax,value_millions
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,4318.35593555
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,0.0
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,28772.437883100007
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,718.1371058699999
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,79.2132748
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,4713.09843349
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,0.0
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,32059.956612019996
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,5275.9158518099985
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,73.03389789
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,5472.368435730001
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,0.0
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,32161.157915990003
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,525.7850798699999
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,64.41850882
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,5230.025766490001
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,13494.366532
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,277942.435932
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,45075.52358
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,0.0
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,37032.355723
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,19007.169955
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,242946.498124
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,85744.066922
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,0.0
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,28749.031814
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,26153.404034
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,245101.444514
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,61322.928515
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,0.0
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,36500.946557
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,19064.583571
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,260877.639025
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,56237.192615
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,0.0
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,37133.048052
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,9352.30909
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,272287.853378
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,91294.381302
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,0.0
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,35946.673101
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-06,Automotores,9548.475162
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-06,Iibb,271632.288984
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-06,Inmobiliario,44508.857899
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-06,Otros,0.0
Córdoba,top_mensual_2026_12.xlsx,2026,month,2026-06,Sellos,35887.83126
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,2998.258649
