province,source,year,period_type,period,tax,value_millions
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,216.66866729
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,15014.98019643
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,119834.00588381
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,0.0
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,55603.2566806
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,5957.5907899
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,0.0
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,7003.545814440001
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,68564.39328494
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,0.0
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,114391.31550377
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,7256.7936129300015
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,0.0
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,15249.45866291
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,136897.56777961
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,0.0
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,180209.67420088
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,8230.081525220001
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,0.0
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,24156.71167766
Jujuy,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,212596.46740376
La Pampa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,0.0
La Pampa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,0.0
La Pampa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,0.0
La Pampa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,0.0
La Pampa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,0.0
La Pampa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,0.0
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,1761.2697353699998
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,28707.499194249995
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,1157.40968461
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,0.0
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,4602.709614310001
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,36228.88822854
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,4075.84390556
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,57405.69386707
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,2068.77880275
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,0.0
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,9858.1856157
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,73408.50219108
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,5894.46828836
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,91090.20597701
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,2577.756097
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,0.0
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,15481.45378727
La Rioja,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,115043.88414964
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,30083.69563976
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,235952.97096641
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,23206.01842061
