province,period,category,value_millions,price_basis,evidence_status,source_file,source_url
Chubut,2026-06,Compensación Consenso Fiscal,1815.740871,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-06,Total | (1) + (2),107449.59753796726,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-07,CFI | Neta,86449.05840000001,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-07,Compensación Consenso Fiscal,1996.6080749999999,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-07,Total | (1) + (2),111017.62191033304,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-01,CFI | Neta,176740.2409,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-01,Compensación Consenso Fiscal,6724.6844280000005,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-01,Total | (1) + (2),208013.47558840222,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-02,CFI | Neta,146540.17669999998,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-02,Compensación Consenso Fiscal,5764.015224000001,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-02,Total | (1) + (2),193436.44881529038,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-03,CFI | Neta,128102.1031,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-03,Compensación Consenso Fiscal,6724.6844280000005,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-03,Total | (1) + (2),179554.03563204178,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-04,CFI | Neta,146003.32369999998,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-04,Compensación Consenso Fiscal,8297.6399,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-04,Total | (1) + (2),200295.32024718905,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-05,CFI | Neta,241137.3284,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-05,Compensación Consenso Fiscal,7882.757905,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-05,Total | (1) + (2),287887.79688693554,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-06,CFI | Neta,161078.84819999998,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Corrientes,2026-06,Compensación Consenso Fiscal,8712.521895,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
