provincia,area,indicador,valor_base,unidad_y_lectura,periodo_base,fuente,nota_cobertura,meta,fecha_objetivo,responsable,frecuencia_seguimiento,fuente_seguimiento
Neuquén,Educación,Matemática · satisfactorio o avanzado,17.8,"17,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/neuquen_2024.pdf,"La participación estudiantil fue 42,5%. Se muestra el dato, pero se excluye del ranking por baja participación.",,,,,
Neuquén,Salud,Mortalidad infantil,7.1,"7,1 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Río Negro,Seguridad,Víctimas de homicidio doloso,3.16994185058669,"3,2 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_62&start_date=2024-01-01&limit=10,,,,,,
Río Negro,Educación,Lengua · satisfactorio o avanzado,58.7,"58,7%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/rio_negro_2024.pdf,"La participación estudiantil fue 65,4%. El ranking conserva esta cobertura visible.",,,,,
Río Negro,Educación,Matemática · satisfactorio o avanzado,19.6,"19,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/rio_negro_2024.pdf,"La participación estudiantil fue 65,4%. El ranking conserva esta cobertura visible.",,,,,
Río Negro,Salud,Mortalidad infantil,8.3,"8,3 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Salta,Seguridad,Víctimas de homicidio doloso,3.16175327964631,"3,2 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_66&start_date=2024-01-01&limit=10,,,,,,
Salta,Educación,Lengua · satisfactorio o avanzado,55.8,"55,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/salta_2024.pdf,"La participación estudiantil fue 86,5%. El ranking conserva esta cobertura visible.",,,,,
Salta,Educación,Matemática · satisfactorio o avanzado,16.6,"16,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/salta_2024.pdf,"La participación estudiantil fue 86,5%. El ranking conserva esta cobertura visible.",,,,,
Salta,Salud,Mortalidad infantil,10.1,"10,1 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
San Juan,Seguridad,Víctimas de homicidio doloso,1.41323280537311,"1,4 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_70&start_date=2024-01-01&limit=10,,,,,,
San Juan,Educación,Lengua · satisfactorio o avanzado,49.8,"49,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/san_juan_2024.pdf,"La participación estudiantil fue 84,3%. El ranking conserva esta cobertura visible.",,,,,
San Juan,Educación,Matemática · satisfactorio o avanzado,11.2,"11,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/san_juan_2024.pdf,"La participación estudiantil fue 84,3%. El ranking conserva esta cobertura visible.",,,,,
San Juan,Salud,Mortalidad infantil,9.2,"9,2 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
San Luis,Seguridad,Víctimas de homicidio doloso,1.30554876877426,"1,3 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_74&start_date=2024-01-01&limit=10,,,,,,
San Luis,Educación,Lengua · satisfactorio o avanzado,53.5,"53,5%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/san_luis_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible.",,,,,
San Luis,Educación,Matemática · satisfactorio o avanzado,13.5,"13,5%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/san_luis_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible.",,,,,
San Luis,Salud,Mortalidad infantil,6.3,"6,3 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Santa Cruz,Seguridad,Víctimas de homicidio doloso,4.47824023071894,"4,5 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_78&start_date=2024-01-01&limit=10,,,,,,
Santa Cruz,Educación,Lengua · satisfactorio o avanzado,55.6,"55,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_cruz_2024.pdf,"La participación estudiantil fue 49,8%. Se muestra el dato, pero se excluye del ranking por baja participación.",,,,,
