provincia,indicador,id,area,valor_base,periodo_base,unidad,referencia_mediana,universo_referencia,meta_propuesta,estado,criterio,horizonte,responsable_funcional,seguimiento,fuente,nota_cobertura
Formosa,Matemática · satisfactorio o avanzado,math_high,Educación,11.4,Aprender Secundaria 2024,%,16.25,22,13.82,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/formosa_2024.pdf,"La participación estudiantil fue 77,5%. El ranking conserva esta cobertura visible."
Formosa,Mortalidad infantil,infant_mortality,Salud,10.7,2024,cada 1.000 nacidos vivos,8.25,24,9.47,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Jujuy,Víctimas de homicidio doloso,homicide_rate,Seguridad,3.74651574036146,2025,cada 100.000 habitantes,2.88960391691822,24,3.32,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_38&start_date=2024-01-01&limit=10,
Jujuy,Lengua · satisfactorio o avanzado,language_high,Educación,52.7,Aprender Secundaria 2024,%,54.65,22,53.67,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/jujuy_2024.pdf,"La participación estudiantil fue 76,8%. El ranking conserva esta cobertura visible."
Jujuy,Matemática · satisfactorio o avanzado,math_high,Educación,15.9,Aprender Secundaria 2024,%,16.25,22,16.07,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/jujuy_2024.pdf,"La participación estudiantil fue 76,8%. El ranking conserva esta cobertura visible."
Jujuy,Mortalidad infantil,infant_mortality,Salud,6.0,2024,cada 1.000 nacidos vivos,8.25,24,6.0,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
La Pampa,Víctimas de homicidio doloso,homicide_rate,Seguridad,1.59238204430007,2025,cada 100.000 habitantes,2.88960391691822,24,1.59,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_42&start_date=2024-01-01&limit=10,
La Pampa,Lengua · satisfactorio o avanzado,language_high,Educación,62.7,Aprender Secundaria 2024,%,54.65,22,62.7,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/la_pampa_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible."
La Pampa,Matemática · satisfactorio o avanzado,math_high,Educación,19.6,Aprender Secundaria 2024,%,16.25,22,19.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/la_pampa_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible."
La Pampa,Mortalidad infantil,infant_mortality,Salud,6.6,2024,cada 1.000 nacidos vivos,8.25,24,6.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
La Rioja,Víctimas de homicidio doloso,homicide_rate,Seguridad,2.72562608870178,2025,cada 100.000 habitantes,2.88960391691822,24,2.73,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_46&start_date=2024-01-01&limit=10,
La Rioja,Lengua · satisfactorio o avanzado,language_high,Educación,49.6,Aprender Secundaria 2024,%,54.65,22,52.12,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/la_rioja_2024.pdf,"La participación estudiantil fue 85,9%. El ranking conserva esta cobertura visible."
La Rioja,Matemática · satisfactorio o avanzado,math_high,Educación,9.2,Aprender Secundaria 2024,%,16.25,22,12.72,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/la_rioja_2024.pdf,"La participación estudiantil fue 85,9%. El ranking conserva esta cobertura visible."
La Rioja,Mortalidad infantil,infant_mortality,Salud,11.7,2024,cada 1.000 nacidos vivos,8.25,24,9.97,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Mendoza,Víctimas de homicidio doloso,homicide_rate,Seguridad,3.17509785407348,2025,cada 100.000 habitantes,2.88960391691822,24,3.03,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_50&start_date=2024-01-01&limit=10,
Mendoza,Lengua · satisfactorio o avanzado,language_high,Educación,55.8,Aprender Secundaria 2024,%,54.65,22,55.8,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/mendoza_2024.pdf,"La participación estudiantil fue 81,0%. El ranking conserva esta cobertura visible."
Mendoza,Matemática · satisfactorio o avanzado,math_high,Educación,17.3,Aprender Secundaria 2024,%,16.25,22,17.3,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/mendoza_2024.pdf,"La participación estudiantil fue 81,0%. El ranking conserva esta cobertura visible."
Mendoza,Mortalidad infantil,infant_mortality,Salud,7.6,2024,cada 1.000 nacidos vivos,8.25,24,7.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Misiones,Víctimas de homicidio doloso,homicide_rate,Seguridad,3.34729776370756,2025,cada 100.000 habitantes,2.88960391691822,24,3.12,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_54&start_date=2024-01-01&limit=10,
Misiones,Lengua · satisfactorio o avanzado,language_high,Educación,51.6,Aprender Secundaria 2024,%,54.65,22,53.12,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/misiones_2024.pdf,"La participación estudiantil fue 75,7%. El ranking conserva esta cobertura visible."
Misiones,Matemática · satisfactorio o avanzado,math_high,Educación,10.8,Aprender Secundaria 2024,%,16.25,22,13.53,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/misiones_2024.pdf,"La participación estudiantil fue 75,7%. El ranking conserva esta cobertura visible."
