report_period,publication_date,source_sha256,province,year,source_page,tax,royalties,national_tax,social_income,other_income,income,personnel,current_transfers,capital,social_spend,other_spend,primary_spend,primary,interest_signed,financial
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Entre Ríos,2024,34,19.1,0.7,60.3,15.1,4.7,100.0,47.0,17.2,2.3,25.3,7.1,98.9,1.1,-2.2,-1.1
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Formosa,2024,35,6.0,0.1,83.7,8.9,1.3,100.0,33.4,17.6,17.5,14.2,14.4,97.2,2.8,-0.1,2.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Jujuy,2024,36,11.6,0.7,69.6,0.0,18.0,100.0,45.1,17.6,15.4,0.0,6.7,84.8,15.2,-1.9,13.3
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,La Rioja,2024,37,10.5,0.0,86.3,0.0,3.2,100.0,47.2,27.7,7.4,0.0,13.2,95.5,4.5,-1.6,2.9
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Mendoza,2024,38,30.9,4.8,52.0,0.0,12.4,100.0,38.4,27.8,12.5,0.0,15.0,93.7,6.3,-1.7,4.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Misiones,2024,39,29.6,0.6,51.3,13.0,5.6,100.0,34.9,44.7,5.5,10.0,4.6,99.7,0.3,-0.2,0.2
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Neuquén,2024,40,24.5,32.9,15.1,16.9,10.6,100.0,45.4,12.6,5.7,16.6,10.0,90.4,9.6,-1.9,7.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Río Negro,2024,41,25.2,5.9,63.3,0.0,5.5,100.0,65.8,21.5,2.6,0.0,8.2,98.1,1.9,-2.6,-0.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Salta,2024,42,25.0,1.3,66.8,0.0,6.9,100.0,55.0,27.0,5.8,0.0,8.1,95.9,4.1,-2.2,1.9
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Juan,2024,43,11.8,2.3,74.1,0.0,11.8,100.0,46.6,21.5,7.9,0.0,11.1,87.0,13.0,-0.7,12.2
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2024,44,18.7,0.0,74.6,0.0,6.7,100.0,37.9,14.0,28.2,0.0,8.3,88.3,11.7,0.0,11.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santa Cruz,2024,45,17.1,20.7,39.1,12.8,10.3,100.0,46.5,21.6,0.6,24.4,4.7,97.9,2.1,-0.1,2.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santa Fe,2024,46,26.3,0.0,51.2,14.4,8.1,100.0,42.0,20.0,9.4,19.5,6.7,97.6,2.4,-0.7,1.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2024,47,8.4,0.0,84.2,0.0,7.4,100.0,35.4,18.7,20.7,0.0,9.2,84.1,15.9,-0.2,15.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Tierra del Fuego,2024,48,20.4,4.6,48.2,13.2,13.6,100.0,50.2,25.0,3.5,14.3,6.1,99.0,1.0,-1.2,-0.2
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Tucumán,2024,49,26.5,0.0,69.9,0.0,3.6,100.0,49.8,29.8,6.1,0.0,7.2,92.9,7.1,-1.1,6.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Buenos Aires,2025,27,40.7,0.0,39.7,15.7,4.0,100.0,42.6,26.8,7.0,19.9,6.2,102.5,-2.5,-3.5,-5.9
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Catamarca,2025,28,11.6,0.5,79.4,0.0,8.5,100.0,50.3,30.8,13.9,0.0,6.6,101.6,-1.6,-0.1,-1.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,CABA,2025,29,74.1,0.0,9.7,0.0,16.3,100.0,43.0,12.1,19.3,0.0,26.3,100.7,-0.7,-0.8,-1.5
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Córdoba,2025,30,26.9,0.0,42.3,13.7,17.0,100.0,34.6,20.3,10.7,19.3,13.0,97.8,2.2,-1.7,0.5
